Date,Open,High,Low,Close,Volume
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
2020-01-26,100,100,100,100,1000
2020-01-27,100,100,100,100,1000
2020-01-28,100,100,100,100,1000
2020-01-01,100,100,100,100,1000
2020-01-02,100,100,100,100,1000
2020-01-03,100,100,100,100,1000
2020-01-04,100,100,100,100,1000
2020-01-05,100,100,100,100,1000
2020-01-06,100,100,100,100,1000
2020-01-07,100,100,100,100,1000
2020-01-08,100,100,100,100,1000
2020-01-09,100,100,100,100,1000
2020-01-10,100,100,100,100,1000
2020-01-11,100,100,100,100,1000
2020-01-12,100,100,100,100,1000
2020-01-13,100,100,100,100,1000
2020-01-14,100,100,100,100,1000
2020-01-15,100,100,100,100,1000
2020-01-16,100,100,100,100,1000
2020-01-17,100,100,100,100,1000
2020-01-18,100,100,100,100,1000
2020-01-19,100,100,100,100,1000
2020-01-20,100,100,100,100,1000
2020-01-21,100,100,100,100,1000
2020-01-22,100,100,100,100,1000
2020-01-23,100,100,100,100,1000
2020-01-24,100,100,100,100,1000
2020-01-25,100,100,100,100,1000
